experiment_id,seed,growth_rate,compression,depth,batch_size,resolution,test_accuracy,test_loss,macro_f1,val_accuracy,total_params,model_size_kb,memory_mb,inference_ms,throughput_fps,machine,ablation_group
arch_gr12_c0.25_d3_3_3,123,12,0.25,"(3, 3, 3)",5,64,94.84583735466003,0.13001230359077454,95.33700862918009,96.36447429656982,29352,114.65625,0.335906982421875,1.2509750202298164,799.3764734137459,jupyter-himanshuk,architecture
arch_gr12_c0.25_d4_4_4,42,12,0.25,"(4, 4, 4)",5,64,97.51495718955994,0.08119998872280121,97.77192759307547,97.9751467704773,50516,197.328125,0.5781097412109375,1.4392266049981117,694.8176169945885,jupyter-himanshuk,architecture
arch_gr12_c0.25_d4_4_4,123,12,0.25,"(4, 4, 4)",5,64,97.9291319847107,0.06403885036706924,98.1264962385953,97.69903421401978,50516,197.328125,0.5781097412109375,1.326946634799242,753.6098089967975,jupyter-himanshuk,architecture
arch_gr12_c0.5_d2_2_2,42,12,0.5,"(2, 2, 2)",5,64,93.28117966651917,0.19539855420589447,93.96204789072465,94.29360628128052,20884,81.578125,0.2389984130859375,1.0191838257014751,981.1772663402782,jupyter-himanshuk,architecture
arch_gr12_c0.5_d2_2_2,123,12,0.5,"(2, 2, 2)",5,64,93.00506114959717,0.1835635006427765,93.8592119791389,92.63690710067749,20884,81.578125,0.2389984130859375,1.192926336079836,838.2747280826866,jupyter-himanshuk,architecture
arch_gr12_c0.5_d3_3_3,42,12,0.5,"(3, 3, 3)",5,64,97.46893644332886,0.07664910703897476,97.70232889588706,97.10078239440918,42698,166.7890625,0.48863983154296875,1.2896917760372162,775.3790623312026,jupyter-himanshuk,architecture
arch_gr12_c0.5_d3_3_3,123,12,0.5,"(3, 3, 3)",5,64,97.60699272155762,0.07374130934476852,97.82926412022177,96.68660759925842,42698,166.7890625,0.48863983154296875,1.2610643170773983,792.9809657270832,jupyter-himanshuk,architecture
arch_gr12_c0.5_d4_4_4,42,12,0.5,"(4, 4, 4)",5,64,97.83709049224854,0.06348700821399689,98.10004012144196,98.38932156562805,72372,282.703125,0.8282318115234375,1.4379395171999931,695.4395425109642,jupyter-himanshuk,architecture
arch_gr12_c0.5_d4_4_4,123,12,0.5,"(4, 4, 4)",5,64,97.74505496025085,0.06822863221168518,98.01408681437263,97.74505496025085,72372,282.703125,0.8282318115234375,1.4495319686830044,689.8778513374673,jupyter-himanshuk,architecture
arch_gr12_c0.75_d2_2_2,42,12,0.75,"(2, 2, 2)",5,64,95.58214545249939,0.1461094170808792,95.99026484931991,95.26001214981079,29292,114.421875,0.3352203369140625,1.091795228421688,915.9226693503797,jupyter-himanshuk,architecture
arch_gr12_c0.75_d2_2_2,123,12,0.75,"(2, 2, 2)",5,64,94.75379586219788,0.14586231112480164,95.28601409795279,97.00874090194702,29292,114.421875,0.3352203369140625,1.0615021921694279,942.0611727200169,jupyter-himanshuk,architecture
arch_gr12_c0.75_d3_3_3,42,12,0.75,"(3, 3, 3)",5,64,97.46893644332886,0.07257989794015884,97.7423285150337,97.79106974601746,59172,231.140625,0.6771697998046875,1.411975733935833,708.2274687628909,jupyter-himanshuk,architecture
arch_gr12_c0.75_d3_3_3,123,12,0.75,"(3, 3, 3)",5,64,97.6530134677887,0.07497745752334595,97.88492201332743,97.19282388687134,59172,231.140625,0.6771697998046875,1.307835429906845,764.6221972065922,jupyter-himanshuk,architecture
arch_gr12_c0.75_d4_4_4,42,12,0.75,"(4, 4, 4)",5,64,98.38932156562805,0.05005025491118431,98.49667213864083,98.25126528739929,99572,388.953125,1.1395111083984375,1.5321290120482445,652.6865506339694,jupyter-himanshuk,architecture
arch_gr12_c0.75_d4_4_4,123,12,0.75,"(4, 4, 4)",5,64,98.38932156562805,0.050814393907785416,98.48364110776356,98.25126528739929,99572,388.953125,1.1395111083984375,1.440112479031086,694.3902053211874,jupyter-himanshuk,architecture
